pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,9/27/20,79.2,-0.82,5.8,Luis Garcia,518618,677651,hit_by_pitch,hit_by_pitch,,,,,14,Derek Dietrich hit by pitch.  ,R,L,R,TEX,HOU,B,null,null,1,0,2020,0.9,-1.2,2,2.08,608597,660731,null,2,8,Bot,null,null,,,572863,,null,4.421243385,-115.1832434,0.908841922,7.168625396,24.54245068,-42.80777034,3.35,1.55,9,null,null,78.4,2502,6.1,630915,677651,572863,493329,649557,608324,608686,663656,664702,502210,54.41,null,null,0.7,1,0,0,null,75,2,Curveball,8,4,8,4,4,8,8,4,Standard,Standard
CU,9/27/20,80.7,-0.85,6.48,Nivaldo Rodriguez,660731,670550,null,ball,,,,,11,null,R,L,R,TEX,HOU,B,null,null,2,2,2020,0.8,-0.7,-0.77,5.23,null,608597,null,0,8,Bot,null,null,,,572863,,null,-1.294979757,-117.387338,5.026562757,7.574303491,21.50054169,-39.5207217,3.38,1.58,null,null,null,79.7,2541,5.5,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.95,null,null,null,null,null,null,null,72,5,Curveball,8,4,8,4,4,8,8,4,Standard,Standard
CU,9/27/20,80.1,-0.83,6.29,Nivaldo Rodriguez,660731,670550,null,ball,,,,,14,null,R,L,R,TEX,HOU,B,null,null,0,0,2020,0.8,-0.9,1.39,0.52,null,null,608597,0,8,Bot,null,null,,,572863,,null,3.337162579,-116.6695519,-4.30260093,6.783838015,22.37011551,-39.83215469,3.4,1.65,null,null,null,79.4,2636,5.8,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.69,null,null,null,null,null,null,null,72,1,Curveball,8,4,8,4,4,8,8,4,Standard,Standard
CU,9/27/20,79.2,-0.7,6.42,Nivaldo Rodriguez,608597,670550,null,ball,,,,,11,null,R,L,R,TEX,HOU,B,null,null,0,0,2020,0.6,-0.4,-1.48,4.13,null,null,null,0,8,Bot,null,null,,,572863,,null,-2.720613206,-115.2539388,2.498710907,5.605845179,20.93207036,-36.73156156,3.61,1.71,null,null,null,77.9,2514,5.3,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,55.19,null,null,null,null,null,null,null,71,1,Curveball,8,4,8,4,4,8,8,4,Strategic,Standard
CU,9/27/20,81.3,-0.8,6.4,Nivaldo Rodriguez,608336,670550,null,ball,,,,,14,null,R,L,R,TEX,HOU,B,null,null,0,0,2020,0.5,-0.6,0.83,1.14,null,null,518618,0,7,Bot,null,null,,,572863,,null,2.682896571,-118.4243208,-4.03099241,4.049182047,23.81087569,-37.05722081,3.49,1.65,null,null,null,80.4,2703,5.7,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.75,null,null,null,null,null,null,null,62,1,Curveball,8,3,8,3,3,8,8,3,Infield shift,Strategic
CU,9/27/20,82,-0.8,6.42,Nivaldo Rodriguez,641432,670550,strikeout,called_strike,,,,,1,Willie Calhoun called out on strikes.  ,R,L,R,TEX,HOU,S,2,null,2,2,2020,0.6,-0.5,-0.75,2.85,null,null,null,2,6,Bot,null,null,,,572863,,null,-1.039128741,-119.5766281,-0.615919587,6.063775897,21.31674821,-37.25418026,3.2,1.56,null,null,null,81.5,2472,5.7,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.83,null,null,0,1,0,0,null,56,6,Curveball,7,3,7,3,3,7,7,3,Infield shift,Standard
CU,9/27/20,82.9,-0.93,6.34,Nivaldo Rodriguez,596059,670550,home_run,hit_into_play_score,,,,,2,Rougned Odor homers (10) on a fly ball to center field.  ,R,L,R,TEX,HOU,X,null,fly_ball,1,2,2020,0.7,-0.6,-0.23,2.57,null,null,null,2,5,Bot,160.13,25.06,,,572863,,null,0.146490589,-120.844843,-1.064818498,7.215988226,23.4665381,-37.75324369,3.03,1.39,418,101.2,27,82,2619,5.6,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.91,0.757,1.254,2,1,0,3,6,48,5,Curveball,6,3,6,3,3,6,6,3,Infield shift,Strategic
CU,9/27/20,83.3,-0.69,6.42,Nivaldo Rodriguez,596059,670550,null,foul,,,,,3,null,R,L,R,TEX,HOU,S,null,null,0,2,2020,0.7,-0.6,0.79,2.83,null,null,null,2,5,Bot,null,null,,,572863,,null,2.018784269,-121.3521393,-0.721695629,6.46260367,23.56844746,-37.80113938,3.03,1.39,113,65,77,82.6,2605,5.7,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.75,null,null,null,null,null,null,null,48,3,Curveball,6,3,6,3,3,6,6,3,Infield shift,Strategic
CU,9/27/20,83.1,-0.79,6.41,Nivaldo Rodriguez,596059,670550,null,foul,,,,,3,null,R,L,R,TEX,HOU,S,null,null,0,1,2020,0.4,-0.6,0.65,2.74,null,null,null,2,5,Bot,null,null,,,572863,,null,2.420797399,-121.120993,-0.878328617,3.802473501,23.42100826,-37.76926028,3.03,1.39,null,null,null,82.4,2600,5.7,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.79,null,null,null,null,null,null,null,48,2,Curveball,6,3,6,3,3,6,6,3,Infield shift,Strategic
CU,9/27/20,82.3,-0.94,6.4,Nivaldo Rodriguez,596059,670550,null,called_strike,,,,,2,null,R,L,R,TEX,HOU,S,null,null,0,0,2020,0.5,-0.4,-0.09,3.25,null,null,null,2,5,Bot,null,null,,,572863,,null,0.931857687,-119.8373016,0.207404768,4.747129442,23.27149843,-36.67114355,3.23,1.5,null,null,null,81.3,2624,5.6,630915,670550,572863,493329,649557,608324,608686,663656,664702,502210,54.91,null,null,null,null,null,null,null,48,1,Curveball,6,3,6,3,3,6,6,3,Infield shift,Strategic
